Second, Requests Sent
0,181
1,916
2,1179
3,1268
4,1380
5,1451
6,1483
7,1659
8,1664
9,1801
10,1995
11,2207
12,2314
13,2386
14,2529
15,2933
16,3571
17,3384
18,2846
19,2536
20,2454
21,2382
22,2430
23,2351
24,2608
25,2441
26,2422
27,2555
28,2502
29,2563
30,2192
31,2415
32,2647
33,2612
34,2662
35,2561
36,2494
37,2432
38,2719
39,3078
40,3742
41,4130
42,3548
43,3588
44,3712
45,4046
46,4098
47,3860
48,3565
49,3349
50,2887
51,2855
52,2480
53,2700
54,2518
55,2505
56,2725
57,2811
58,2993
59,2250
60,2032
61,2824
62,2679
63,2703
64,2835
65,2593
66,2625
67,2576
68,2514
69,2579
70,2746
71,2579
72,2954
73,3230
74,3487
75,3470
76,4161
77,4493
78,4520
79,4486
80,3863
81,3278
82,3558
83,3144
84,2966
85,2859
86,2753
87,2613
88,2775
89,2808
90,2863
91,2524
92,2699
93,2842
94,2861
95,2801
96,2708
97,2999
98,3129
99,2768
100,2830
101,2849
102,2768
103,2804
104,2815
105,2959
106,3098
107,3161
108,3238
109,3958
110,4234
111,4406
112,3679
113,3620
114,3603
115,3478
116,3107
117,2891
118,2725
119,2838
120,2724
121,2883
122,2729
123,2870
124,2601
125,2925
126,2679
127,2867
128,3064
129,2920
130,3260
131,2906
132,2716
133,2947
134,3007
135,2616
136,2590
137,2759
138,2895
139,2807
140,3175
141,3500
142,3798
143,4026
144,3476
145,3205
146,3291
147,3319
148,3217
149,2894
150,2903
151,2255
152,2795
153,2626
154,2750
155,2763
156,2989
157,3093
158,3134
159,3385
160,2906
161,2926
162,2752
163,2727
164,2588
165,2870
166,2960
167,2851
168,2963
169,2787
170,3224
171,3178
172,3224
173,2101
174,61